Continent,Name
Europe,Moscow
Europe,London
Europe,St Petersburg
Europe,Berlin
Europe,Madrid
Europe,Roma
Europe,Kyiv
Europe,Paris
Europe,Bucuresti
Europe,Budapest
Europe,Hamburg
Europe,Minsk
Europe,Warszawa
Europe,Wien
Europe,Barcelona
Europe,Harkova [Harkiv]
Europe,Novosibirsk
Europe,Nizni Novgorod
Europe,Milano
Europe,Jekaterinburg
Europe,Beograd
Europe,Munich [München]
Europe,Praha
Europe,Samara
Europe,Omsk
Europe,Sofija
Europe,Dnipropetrovsk
Europe,Kazan
Europe,Ufa
Europe,Tšeljabinsk
Europe,Donetsk
Europe,Birmingham
Europe,Rostov-na-Donu
Europe,Odesa
Europe,Perm
Europe,Napoli
Europe,Volgograd
Europe,Köln
Europe,Voronez
Europe,Torino
Europe,Krasnojarsk
Europe,Saratov
Europe,Zaporizzja
Europe,Lódz
Europe,Marseille
Europe,Lviv
Europe,Athenai
Europe,Riga
Europe,Stockholm
Europe,Valencia
Europe,Kraków
Europe,Amsterdam
Europe,Toljatti
Europe,Chisinau
Europe,Zagreb
Europe,Kryvyi Rig
Europe,Sevilla
Europe,Palermo
Europe,Uljanovsk
Europe,Izevsk
Europe,Frankfurt am Main
Europe,Krasnodar
Europe,Wroclaw
Europe,Genova
Europe,Glasgow
Europe,Jaroslavl
Europe,Habarovsk
Europe,Vladivostok
Europe,Zaragoza
Europe,Essen
Europe,Irkutsk
Europe,Rotterdam
Europe,Dortmund
Europe,Stuttgart
Europe,Barnaul
Europe,Vilnius
Europe,Poznan
Europe,Düsseldorf
Europe,Lisboa
Europe,Novokuznetsk
Europe,Helsinki [Helsingfors]
Europe,Bremen
Europe,Penza
Europe,Málaga
Europe,Rjazan
Europe,Orenburg
Europe,Lipetsk
Europe,Duisburg
Europe,Hannover
Europe,Nabereznyje Tšelny
Europe,Oslo
Europe,Mykolajiv
Europe,Tula
Europe,Tjumen
Europe,København
Europe,Kemerovo
Europe,Mariupol
Europe,Leipzig
Europe,Nürnberg
Europe,Astrahan
Europe,Tomsk
Europe,Dublin
Europe,Dresden
Europe,Gomel
Europe,Lugansk
Europe,Gothenburg [Göteborg]
Europe,Kirov
Europe,Liverpool
Europe,Ivanovo
Europe,Tšeboksary
Europe,Gdansk
Europe,Brjansk
Europe,Tver
Europe,Edinburgh
Europe,Bratislava
Europe,Antwerpen
Europe,Lyon
Europe,Skopje
Europe,Kursk
Europe,Haag
Europe,Sheffield
Europe,Manchester
Europe,Magnitogorsk
Europe,Kaliningrad
Europe,Leeds
Europe,Szczecin
Europe,Kaunas
Europe,Tallinn
Europe,Bristol
Europe,Bochum
Europe,Vinnytsja
Europe,Nizni Tagil
Europe,Toulouse
Europe,Bydgoszcz
Europe,Makijivka
Europe,Thessaloniki
Europe,Brno
Europe,Bologna
Europe,Firenze
Europe,Murmansk
Europe,Ulan-Ude
Europe,Wuppertal
Europe,Kurgan
Europe,Arkangeli
Europe,Sarajevo
Europe,Sotši
Europe,Bilbao
Europe,Lublin
Europe,Mogiljov
Europe,Las Palmas de Gran Canaria
Europe,Murcia
Europe,Smolensk
Europe,Herson
Europe,Iasi
Europe,Sevastopol
Europe,Katowice
Europe,Orjol
Europe,Stavropol
Europe,Nice
Europe,Plovdiv
Europe,Constanta
Europe,Belgorod
Europe,Vitebsk
Europe,Kaluga
Europe,Simferopol
Europe,Catania
Europe,Vladimir
Europe,Zürich
Europe,Mahatškala
Europe,Cluj-Napoca
Europe,Bari
Europe,Galati
Europe,Palma de Mallorca
Europe,Tšerepovets
Europe,Timisoara
Europe,Bielefeld
Europe,Cardiff
Europe,Ostrava
Europe,Valladolid
Europe,Saransk
Europe,Brasov
Europe,Craiova
Europe,Pultava [Poltava]
Europe,Tšernigiv
Europe,Tambov
Europe,Córdoba
Europe,Vladikavkaz
Europe,Tšita
Europe,Tšerkasy
Europe,Mannheim
Europe,Coventry
Europe,Vologda
Europe,Grodno
Europe,Bonn
Europe,Varna
Europe,Veliki Novgorod
Europe,Gorlivka
Europe,Zytomyr
Europe,Leicester
Europe,Sumy
Europe,Komsomolsk-na-Amure
Europe,Bradford
Europe,Kostroma
Europe,Belfast
Europe,Nottingham
Europe,Volzski
Europe,Brest
Europe,Århus
Europe,Taganrog
Europe,Bialystok
Europe,Vigo
Europe,Petroskoi
Europe,Gelsenkirchen
Europe,Bratsk
Europe,Venezia
Europe,Karlsruhe
Europe,Dzerzinsk
Europe,Surgut
Europe,Orsk
Europe,Porto
Europe,Alicante [Alacant]
Europe,Ljubljana
Europe,Nantes
Europe,Tirana
Europe,Dniprodzerzynsk
Europe,Wiesbaden
Europe,Gijón
Europe,Sterlitamak
Europe,Kirovograd
Europe,Angarsk
Europe,Münster
Europe,Strasbourg
Europe,Mönchengladbach
Europe,Chemnitz
Europe,Kingston upon Hull
Europe,Hmelnytskyi
Europe,Malmö
Europe,Messina
Europe,Tšernivtsi
Europe,Czestochowa
Europe,Verona
Europe,Augsburg
Europe,Halle/Saale
Europe,Gdynia
Europe,Plymouth
Europe,Stoke-on-Trent
Europe,Ploiesti
Europe,Joškar-Ola
Europe,L´Hospitalet de Llobregat
Europe,Braunschweig
Europe,Rivne
Europe,Granada
Europe,Sosnowiec
Europe,Aachen
Europe,A Coruña (La Coruña)
Europe,Wolverhampton
Europe,Košice
Europe,Krefeld
Europe,Graz
Europe,Rybinsk
Europe,Krementšuk
Europe,Prokopjevsk
Europe,Ivano-Frankivsk
Europe,Derby
Europe,Ternopil
Europe,Magdeburg
Europe,Utrecht
Europe,Niznevartovsk
Europe,Kiel
Europe,Braila
Europe,Naltšik
Europe,Radom
Europe,Bergen
Europe,Swansea
Europe,Syktyvkar
Europe,Severodvinsk
Europe,Montpellier
Europe,Bijsk
Europe,Gent
Europe,Niznekamsk
Europe,Oberhausen
Europe,Oradea
Europe,Blagoveštšensk
Europe,Šahty
Europe,Bobruisk
Europe,Vitoria-Gasteiz
Europe,Lutsk
Europe,Trieste
Europe,Southampton
Europe,Bordeaux
Europe,Bila Tserkva
Europe,Staryi Oskol
Europe,Lübeck
Europe,Espoo
Europe,Aberdeen
Europe,Santa Cruz de Tenerife
Europe,Kielce
Europe,Gliwice
Europe,Padova
Europe,Badalona
Europe,Bacau
Europe,Taranto
Europe,Zelenograd
Europe,Rennes
Europe,Torun
Europe,Balakovo
Europe,Bytom
Europe,Hagen
Europe,Debrecen
Europe,Novorossijsk
Europe,Rostock
Europe,Freiburg im Breisgau
Europe,Klaipeda
Europe,Eindhoven
Europe,Pihkova
Europe,Erfurt
Europe,Charleroi
Europe,Oviedo
Europe,Zabrze
Europe,Zlatoust
Europe,Kassel
Europe,Northampton
Europe,Tampere
Europe,Jakutsk
Europe,Móstoles
Europe,Burgas
Europe,Tiraspol
Europe,Podolsk
Europe,Petropavlovsk-Kamtšatski
Europe,Tilburg
Europe,Elche [Elx]
Europe,Dudley
Europe,Brescia
Europe,Le Havre
Europe,Kamensk-Uralski
Europe,Portsmouth
Europe,Uppsala
Europe,Split
Europe,Newcastle upon Tyne
Europe,Engels
Europe,Linz
Europe,Reims
Europe,Pitesti
Europe,Syzran
Europe,Kramatorsk
Europe,Grozny
Europe,Liège
Europe,Sabadell
Europe,Lille
Europe,Arad
Europe,Novotšerkassk
Europe,Santander
Europe,Odense
Europe,Saarbrücken
Europe,Sunderland
Europe,Mainz
Europe,Luton
Europe,Pireus
Europe,Jerez de la Frontera
Europe,Berezniki
Europe,Hamm
Europe,Pamplona [Iruña]
Europe,Bielsko-Biala
Europe,St-Étienne
Europe,Swindon
Europe,Novi Sad
Europe,Reggio di Calabria
Europe,Donostia-San Sebastián
Europe,Juzno-Sahalinsk
Europe,Vantaa
Europe,Volgodonsk
Europe,Cartagena
Europe,Modena
Europe,Southend-on-Sea
Europe,Herne
Europe,Niš
Europe,Walsall
Europe,Mülheim an der Ruhr
Europe,Geneve
Europe,Leganés
Europe,Groningen
Europe,Turku [Åbo]
Europe,Prato
Europe,Miskolc
Europe,Fuenlabrada
Europe,Olsztyn
Europe,Sibiu
Europe,Abakan
Europe,Almería
Europe,Melitopol
Europe,Parma
Europe,Terrassa
Europe,Rijeka
Europe,Maikop
Europe,Baranovitši
Europe,Plzen
Europe,Basel
Europe,Ruse
Europe,Miass
Europe,Cagliari
Europe,Solingen
Europe,Târgu Mures
Europe,Armavir
Europe,Osnabrück
Europe,Alcalá de Henares
Europe,Ljubertsy
Europe,Ludwigshafen am Rhein
Europe,Burgos
Europe,Rubtsovsk
Europe,Rzeszów
Europe,Bournemouth
Europe,Kertš
Europe,Livorno
Europe,Aalborg
Europe,Leverkusen
Europe,Toulon
Europe,Breda
Europe,Kovrov
Europe,Ruda Slaska
Europe,Salamanca
Europe,Szeged
